Id,Asset class,Emission factor type,Country,Data level 1 information,Data level 2 information,EPC Rating,Emission factor functional unit (name),Emission factor functional unit (unit),Emission factor (name),Emission factor (unit),PCAF data quality score,Emission factor
9770,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,31.1725
9771,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,37.5425
9772,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,43.4574
9773,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,48.7354
9774,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,17.084
9775,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,25.2217
9776,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,33.6061
9777,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,42.237
9778,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,50.8679
9779,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,58.8824
9780,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - High Street,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,66.0337
9781,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,13.5188
9782,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,19.9583
9783,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,26.593
9784,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,33.4228
9785,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,40.2526
9786,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,46.5945
9787,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Shopping Center,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,52.2535
9788,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,15.0523
9789,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,22.2223
9790,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,29.6096
9791,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,37.2141
9792,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,44.8186
9793,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,51.88
9794,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Retail - Strip Mall,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,58.1809
